Compound	CAS	Company	CatalogNumber	FW	Synonyms	Hans80Anti	Hans80metals	FEBA_carbon	FEBA_nitrogen	FEBA_stress	All_star
(-)-Epigallocatechin gallate	989-51-5	Sigma	E4143-50MG	458.37							
(-)-Epinephrine	51-43-4	Sigma	E4250-1G	183.2							
(-)-Norepinephrine	51-41-2	Sigma	A7257-500MG	169.18							
(+/-)-Verapamil hydrochloride	152-11-4	Sigma	V4629-1G	491.06							
1-ethyl-3-methylimidazolium acetate	143314-17-4	Sigma	689483	170.21						yes	
1-ethyl-3-methylimidazolium chloride	65039-09-0			146.62						yes	
1-ethyl-3-methylimidazolium lysine										yes	
1,2-dimethyl-5-nitroimidazole	551-92-8	TCI	d4081	141.13	Dimetridazole	yes					
18-Crown-6	17455-13-9	Sigma	186651-5G	264.32		yes					
2-bromo-2-nitro-1,3-propanediol	52-51-7	Sigma	134708-100g	199.99		yes					
2-Deoxy-D-Ribose	533-67-5	Sigma	D5899	134.13				yes			
2-Furfuraldehyde	98-01-1	Sigma	185914	96.08						yes	
2-furoic acid	88-14-2	Sigma	F20505	112.08							
2-Mercaptopyridine N-oxide sodium salt	3811-73-2	Sigma	H3261	149.15		yes					
2-methyl-4-isothizaolin-3-one	2682-20-4	Sigma	725765-5g	115.15		yes					
2-undecanol	1653-30-1			172.31							
2,2-dibromo-2-cyanoacetamide	10222-01-2	Sigma	540978-5g	241.87		yes					
2,2'-Dipyridyl	366-18-7	Sigma	36759-1G	156.18							
2,3-dihydroxybenzoic acid	303-38-8			154.12							
2,4-Dinitrophenol	51-28-5	Sigma	D198501-5G	184.11		yes					
2,5-dihydroxybenzoic acid	490-79-9	Sigma	149357	154.12							
3-(N-morpholino)propanesulfonic acid	1132-61-2			209.2633	MOPS						
3-hydroxybenzoic acid	99-06-9	Sigma	H20008	138.12							
3-methyl-1-butanol	123-51-3			88.15							
3-methyl-2-butenol	556-82-1			86.132							
3-methyl-3-butenol	763-32-6			86.13							
3-Methylcatechol	488-17-5	Sigma	M34006	124.14							
4-Aminobenzoic acid	150-13-0	Sigma	A9878	137.14	p-Aminobenzoic acid, para-aminobenzoic acid						
4-Hydroxyacetophenone	99-93-4	Sigma	278564	136.15			yes				
4-Hydroxybenzaldehyde	123-08-0	Sigma	144088	122.12							
4-Hydroxybenzoic Acid	99-96-7	Sigma	240141	138.12	para-hydroxybenzoic acid			yes			
4-Hydroxymandelic acid monohydrate	184901-84-6	Sigma	168327	186.15							
4-hydroxyphenylacetic acid	156-38-7	Sigma	H50004	152.15							
4-Hydroxyphenylpropionic acid	501-97-3	Sigma	H52406	166.17							
5-Azacytidine	320-67-2	Sigma	A2385-100MG	244.2							
5-Fluoroorotic acid hydrate	207291-81-4	Sigma	F5013-50MG	174.09							
5-fluorouracil	51-21-8	ICN	101722	130.1		yes					
5-Hydroxymethylfurfural	67-47-0	Sigma	W501808	126.11						yes	
5-Keto-D-Gluconic Acid potassium salt	91446-96-7	Sigma	K4125	232.23				yes			
5'-Deoxy-5'-(methylthio)adenosine	2457-80-9	Sigma	D5011	297.33							
8-hydroxy-nitroquinolone	4008-48-4	Sigma	140325-5g	190.16		yes					
a-Cyclodextrin	10016-20-3	Sigma	C4642	160.1026				yes			
a-Ketoglutaric acid disodium salt hydrate	305-72-6	Sigma	K3752	190.06				yes			
acetaldehyde	75-07-0	Sigma	402788	44.05							
Acetic Acid	64-19-7	Sigma	242853	60.05							
acetone	67-64-1	Sigma	179124	58.08							
Acetosyringone	2478-38-8	Sigma	D134406	196.2							
Acetovanillone	498-02-2	Sigma	W508454	166.17							
Actinomycin D	50-76-0	Sigma	A1410	1255.5							
Adenine hydrochloride hydrate	2922-28-3	Sigma	A8751	171.59	Adenine			yes	yes		
Adenosine	58-61-7	Sigma	A9251	267.241				yes	yes		
Agar	9002-18-0	Sigma	A1296								
Agave											
Allopurinol	315-30-0		a8003-5g	136.11		yes					
Aluminum chloride hydrate	10124-27-3	Sigma	229393	133.34			yes			yes	
Aluminum potassium sulfate dodecahydrate	7784-24-9	Sigma	A7210	474.39	Alum, Potassium alum, Potassium aluminum sulfate dodecahydrate, AlK(SO4)2 12H2O						
Amikacin disulfate salt	39831-55-5	Sigma	A1774-250MG	781.76							
Ammonium chloride	12125-02-9	Sigma	A9434	53.49	NH4Cl		yes		yes		
Ammonium heptamolybdate tetrahydrate	12027-67-7			1235.86	Ammonium molybdate		no				
Ammonium Nitrate	6484-52-2	Sigma	A9642	80.04			no				
Ammonium Sulfamate	7773-06-0	Sigma	228745	114.12			no				
Ammonium Sulfate	7783-20-2	Sigma	A4418	132.14	Mascagnite		no				
Ammonium sulfite monohydrate	7783-11-1	Sigma	358983	134.16			no				
Amoxicillin	26787-78-0	Sigma	A8523-1G	365.4		yes	no				
Ampicillin sodium salt	69-52-3	Sigma	A9518	371.39		yes	no				
Anhydrotetracycline hydrochloride	13803-65-1	fluka	37919	462.88		yes	no				
